"","x"
"1","Vorbă multă, ochiul vânăt."
"2","Ai priceput şi tu cât a priceput ciomagu' lui moş Neagu."
"3","Dacă nu semeni păpuşoii la vreme, pune melesteul pe foc."
"4","Când e bolnav leul, iepurii îi sar în spinare."
"5","Asta nu-i nici cea dintâi, nici cea din urmă."
"6","E bătut la cap, tocmai ca un ţap."
"7","Nu vinde pielea ursului înainte de a-l ucide."
"8","Şi cu oile toate, şi cu lupii prieteni, nu se poate."
"9","Lucrul cel mai cinstit este adevărul."
"10","Vacă pe vacă se linge şi porc pe porc se scarpină."
"11","Cu învăţătura omul nu moare de foame."
"12","Dulce la limbă, amar la inimă."
"13","Petrecerea fără femei e ca nunta fără lăutari."
"14","Soarele, oricât este de cald, nu încălzeşte pe toată lumea."
"15","Vântul la pământ n-aruncă buruieni, ci pe cei mai mari copaci."
"16","Casa e casă, când ai o gospodină în casă."
"17","Lucrul furat nu încălzeşte."
"18","Lăcomia strică omenia."
"19","Ceasul dimineţii e aurul vieţii."
"20","Să nu te pui în poară cu adevărul şi dreptatea."
"21","La mămăliga mare vin multe haimanale."
"22","Nimeni nu întreabă în sat de casa frumosului, dar de casa harnicului şi înţeleptului."
"23","La Crăciun se vede dacă-i bună nuca."
"24","În noiembrie îşi cumpără şi soarele cojoc."
"25","Timpul învaţă pe aceia ce n-au şcoală."
"26","Mai bine un măgar care te poartă, decât un cal care te trânteşte."
"27","Are nădejde în el ca într-un cui de tei."
"28","În cea mai frumoasă grădină găseşti şi buruieni."
"29","Haina lui, mai multă aţă decât faţă."
"30","Lauda aduce pagubă."
"31","Adevărul este iubit de toţi, dar nu toţi îl primesc."
"32","Este scară de suit, dar este şi de coborât."
"33","Vrednicia omului se cunoaşte după port."
"34","Adevărul n-are teamă de judecată."
"35","O carte aleasă e un bun prieten."
"36","Pădurea dă coadă securei."
"37","Numai omul rău la inimă poate vorbi pe alţii de rău."
"38","Câţi oameni, atâtea năravuri."
"39","Râde ciocanul de nicovală."
"40","Calul bun se cunoaşte în mers, omul bun se cunoaşte în prietenie."
"41","De lene ochi-şi închide şi buzele-şi deschide."
"42","Surdul, dacă nu înţelege, o face pe prostul."
"43","Nu stau colacii pe garduri."
"44","Trebuie să dai câteodată o lumânare şi dracului."
